Shipping_No,TrackingNumber,From,To,Estimated Departure,Estimated Arrival,Index
0000178500,DH17934,CPH,NRT,"Fri, Feb 09, 2018 15:45 (Local)","Sat, Feb 10, 2018 09:35 (Local)",0
0000178502,DH17931,CPH,NRT,"Thu, Feb 08, 2018 15:45 (Local)","Fri, Feb 09, 2018 09:35 (Local)",0
0000178503,DH17932,CPH,NRT,"Thu, Feb 22, 2018 15:45 (Local)","Fri, Feb 23, 2018 09:35 (Local)",0
0000178528,DH17936,CPH,NRT,"Fri, Feb 23, 2018 15:45 (Local)","Sat, Feb 24, 2018 09:35 (Local)",0
0000178813,DH17973,CPH,NRT,"Thu, Feb 22, 2018 15:45 (Local)","Fri, Feb 23, 2018 09:35 (Local)",0
0000179182,DH20337,CPH,NRT,"Fri, Mar 16, 2018 15:45 (Local)","Sat, Mar 17, 2018 09:35 (Local)",0
0000179361,DH21258,CPH,YYZ,"Tue, Mar 13, 2018 12:15 (Local)","Tue, Mar 13, 2018 14:15 (Local)",0
0000179524,DH22055,CPH,NRT,"Thu, Mar 15, 2018 15:45 (Local)","Fri, Mar 16, 2018 09:35 (Local)",0
0000179631,DH22811,CPH,NRT,"Fri, Apr 06, 2018 15:45 (Local)","Sat, Apr 07, 2018 09:35 (Local)",0
0000179633,DH22823,CPH,NRT,"Fri, Apr 06, 2018 15:45 (Local)","Sat, Apr 07, 2018 09:35 (Local)",0
0000179910,DH22868,CPH,NRT,"Thu, Apr 12, 2018 15:45 (Local)","Fri, Apr 13, 2018 09:35 (Local)",0
0000179982,DH23204,CPH,NRT,"Thu, Apr 19, 2018 15:45 (Local)","Fri, Apr 20, 2018 09:35 (Local)",0
0000180054,DH23463,CPH,NRT,"Fri, Apr 20, 2018 15:45 (Local)","Sat, Apr 21, 2018 09:35 (Local)",0
0000180206,DH25787,CPH,NRT,"Thu, May 10, 2018 15:45 (Local)","Fri, May 11, 2018 09:35 (Local)",0
0000180207,DH26085,CPH,NRT,"Sat, May 05, 2018 15:45 (Local)","Sun, May 06, 2018 09:35 (Local)",0
0000180208,DH27755,CPH,NRT,"Thu, May 24, 2018 15:45 (Local)","Fri, May 25, 2018 09:35 (Local)",0
0000180209,DH25791,CPH,NRT,"Thu, May 10, 2018 15:45 (Local)","Fri, May 11, 2018 09:35 (Local)",0
0000180318,DH26357,AEJ,YYZ,,"Mon, May 07, 2018",1
0000180318,DH26357,CPH,AEJ,"Sat, May 05, 2018",,0
0000180413,DH26818,AEJ,YYZ,,"Mon, May 14, 2018",1
0000180413,DH26818,CPH,AEJ,"Sat, May 12, 2018",,0
0000180415,DH26819,AEJ,YYZ,,"Mon, May 14, 2018",1
0000180415,DH26819,CPH,AEJ,"Sat, May 12, 2018",,0
0000180607,DH27882,AEJ,YYZ,,"Mon, May 28, 2018",1
0000180607,DH27882,CPH,AEJ,"Sat, May 26, 2018",,0
0000180668,DH27746,AEJ,YYZ,,"Mon, Jun 04, 2018",1
0000180668,DH27746,CPH,AEJ,"Sat, Jun 02, 2018",,0
0000180720,DH28431,CPH,NRT,"Thu, Jun 14, 2018 15:45 (Local)","Fri, Jun 15, 2018 09:35 (Local)",0
0000180833,DH29043,AEJ,YYZ,,"Mon, Jun 11, 2018",1
