Shipping_No,TrackingNumber,Status,Flight Number,Location,"Date
 (Local)","Time
 (Local)",Index
0000178502,DH17931,Shipment Delivered,,,"Tue, Feb 13, 2018",16:40,0
0000178502,DH17931,Import Customs Cleared,,,"Fri, Feb 09, 2018",14:46,1
0000178502,DH17931,Import Customs Entry,,,"Fri, Feb 09, 2018",14:46,2
0000178502,DH17931,Freight Recovered at,,Tokyo,"Fri, Feb 09, 2018",11:30,3
0000178502,DH17931,Arrived Final Destination,,,"Fri, Feb 09, 2018",10:29,4
0000178502,DH17931,Shipment Entered into System,,,"Tue, Feb 06, 2018",,5
0000178503,DH17932,Shipment Delivered,,,"Wed, Feb 28, 2018",16:10,0
0000178503,DH17932,Import Customs Cleared,,,"Fri, Feb 23, 2018",15:43,1
0000178503,DH17932,Import Customs Entry,,,"Fri, Feb 23, 2018",15:43,2
0000178503,DH17932,Freight Recovered at,,Tokyo,"Fri, Feb 23, 2018",11:15,3
0000178503,DH17932,Arrived Final Destination,,,"Fri, Feb 23, 2018",10:40,4
0000178503,DH17932,Shipment Entered into System,,,"Tue, Feb 20, 2018",,5
0000178500,DH17934,Shipment Delivered,,,"Tue, Feb 13, 2018",16:40,0
0000178500,DH17934,Import Customs Cleared,,,"Mon, Feb 12, 2018",9:49,1
0000178500,DH17934,Import Customs Entry,,,"Mon, Feb 12, 2018",9:49,2
0000178500,DH17934,Freight Recovered at,,Tokyo,"Sat, Feb 10, 2018",11:30,3
0000178500,DH17934,Arrived Final Destination,,,"Sat, Feb 10, 2018",10:38,4
0000178500,DH17934,Shipment Entered into System,,,"Thu, Feb 08, 2018",,5
0000178528,DH17936,Shipment Delivered,,,"Tue, Feb 27, 2018",15:30,0
0000178528,DH17936,Import Customs Cleared,,,"Mon, Feb 26, 2018",10:48,1
0000178528,DH17936,Import Customs Entry,,,"Mon, Feb 26, 2018",10:48,2
0000178528,DH17936,Freight Recovered at,,Tokyo,"Sat, Feb 24, 2018",11:30,3
0000178528,DH17936,Arrived Final Destination,,,"Sat, Feb 24, 2018",10:28,4
0000178528,DH17936,Shipment Entered into System,,,"Tue, Feb 20, 2018",,5
0000178813,DH17973,Shipment Delivered,,,"Tue, Feb 27, 2018",15:30,0
0000178813,DH17973,Import Customs Cleared,,,"Fri, Feb 23, 2018",15:03,1
0000178813,DH17973,Import Customs Entry,,,"Fri, Feb 23, 2018",15:03,2
0000178813,DH17973,Freight Recovered at,,Tokyo,"Fri, Feb 23, 2018",11:15,3
0000178813,DH17973,Arrived Final Destination,,,"Fri, Feb 23, 2018",10:40,4
0000178813,DH17973,Shipment Entered into System,,,"Tue, Feb 20, 2018",,5
