Shipping_No,Type_of_Transportation,Origin,Country_Of_Destination,Equipment,Sum_full_pallets,Sum_shipperboxes,Forwarder,Airline_Name
0000179361,Airfreight,DK,Canada,Pallet Shipper/Cool box,1,8,DHL,Air Canada AC 014 
7000038869,Airfreight,DK,Canada,Pallet Shipper/Cool box,2,77,DHL,Air Canada AC 014 
0000179242,Airfreight,DK,Canada,Pallet Shipper/Cool box,1,11,K+N,KLM Cargo KL 074 
0000180318,Airfreight,DK,Canada,Thermal Blankets,4,119,DHL,KLM Cargo KL 074 
0000180413,Airfreight,DK,Canada,Pallet Shipper/Cool box,1,2,DHL,KLM Cargo KL 074 
0000180415,Airfreight,DK,Canada,Pallet Shipper/Cool box,1,17,DHL,KLM Cargo KL 074 
0000180607,Airfreight,DK,Canada,Pallet Shipper/Cool box,1,3,DHL,KLM Cargo KL 074 
0000180668,Airfreight,DK,Canada,Pallet Shipper/Cool box,,,DHL,KLM Cargo KL 074 
0000180833,Airfreight,DK,Canada,Thermal Blankets,2,47,DHL,KLM Cargo KL 074 
0000181132,Airfreight,DK,Canada,Thermal Blankets,9,270,DHL,KLM Cargo KL 074 
0000181257,Airfreight,DK,Canada,Thermal Blankets,6,162,DHL,KLM Cargo KL 074 
0000181370,Airfreight,DK,Canada,Thermal Blankets,8,228,DHL,KLM Cargo KL 074 
0000181462,Airfreight,DK,Canada,Thermal Blankets,7,209,DHL,KLM Cargo KL 074 
0000181636,Airfreight,DK,Canada,Thermal Blankets,26,827,DHL,KLM Cargo KL 074 
0000181677,Airfreight,DK,Canada,Thermal Blankets,7,220,DHL,KLM Cargo KL 074 
0000181779,Airfreight,DK,Canada,Thermal Blankets,7,203,DHL,KLM Cargo KL 074 
0000181917,Airfreight,DK,Canada,Thermal Blankets,5,136,DHL,KLM Cargo KL 074 
0000181920,Airfreight,DK,Canada,Thermal Blankets,10,316,DHL,KLM Cargo KL 074 
0000182032,Airfreight,DK,Canada,Thermal Blankets,4,110,DHL,KLM Cargo KL 074 
0000182086,Airfreight,DK,Canada,Pallet Shipper/Cool box,,,DHL,KLM Cargo KL 074 
0000182161,Airfreight,DK,Canada,Thermal Blankets,7,203,DHL,KLM Cargo KL 074 
7000024533,Airfreight,DK,Japan,Thermal Blankets,2,100,DHL,KLM Cargo KL 074 
7000024731,Airfreight,DK,Japan,Thermal Blankets,1,10,DHL,KLM Cargo KL 074 
